Aberdeen,SD*98.43*45.45 
Colo Sprgs,CO*104.72*38.82 
Columbia,MO*92.22*38.82 
Columbia,SC*81.12*33.95 
Columbus,GA*84.93*32.52 
Columbus,NE*97.35*41.45 
Columbus,OH*82.88*40.00 
Columbus AFB,MS*88.45*33.65 
Columbus Osu,OH*83.07*40.08 
Colville,WA*118.47*48.88 
Concord,CA*122.05*37.98 
Concord,NH*71.50*43.20 
Concordia,KS*97.65*39.55 
Coopersville,MI*85.95*43.07 
Copper Harb,MI*87.85*47.47 
Cordova,AK*145.50*60.50 
Corona,NM*105.68*34.10 
Corpus Chrst,TX*97.50*27.77 
Cortez,CO*108.63*37.30 
Corvallis,OR*123.28*44.50 
Cotulla,TX*99.22*28.45 
Cozad,NE*100.00*40.87 
Cp Girardeau,MO*89.58*37.23 
Craig,AK*133.25*55.80 
Craig-Moffat,CO*107.53*40.50 
Crescent Cty,CA*124.23*41.78 
Crestview,FL*86.52*30.78 
Cross City,FL*83.10*29.62 
Crossville,TN*85.08*35.95 
Cuba Awrs,NM*106.95*36.02 
Custer,SD*103.60*43.77 
Cut Bank,MT*112.37*48.60 
D.w. Hooks,TX*95.55*30.07 
Daggett,CA*116.78*34.87 
Dalhart,TX*102.55*36.02 
Dallas/Addis,TX*96.83*32.97 
Dallas/FW,TX*97.03*32.90 
Dallas/Love,TX*96.85*32.85 
Dallas/Redbr,TX*96.87*32.68 
Dallas NAS,TX*96.97*32.73 
Danbury,CT*73.48*41.37 
Dansville,NY*78.20*42.97 
Danville,IL*87.60*40.20 
Danville,VA*79.33*36.57 
Dare Co Gr,NC*76.50*36.13 
Davis-M AFB,AZ*110.88*32.17 
Dayton,OH*84.20*39.90 
Daytona Bch,FL*81.05*29.18 
DeKalb,IL*88.72*41.93 
Deadhorse,AK*148.47*70.20 
Decatur,IL*88.87*39.83 
Deer Valley,AZ*112.08*33.68 
Del Rio,TX*100.92*29.37 
Delta,UT*112.58*39.33 
Deming,NM*107.70*32.25 
Denver,CO*104.87*39.75 
Des Moines,IA*93.65*41.53 
Detroit,MI*83.02*42.42 
Detroit Laks,MN*95.88*46.82 
Devil's Lake,ND*98.87*48.10 
Diamond Sho,NC*75.50*35.25 
Dickenson,ND*102.80*46.78 
Dillingham,AK*158.52*59.05 
Dillon,MT*112.55*45.25 
Dobbins AFB,GA*84.52*33.92 
Dodge City,KS*99.97*37.77 
Dothan,AL*85.45*31.32 
Douglas,AZ*109.60*31.45 
Douglas,WY*105.38*42.75 
Dover,DE*75.47*39.13 
Drummond,MT*113.15*46.67 
Du Page,IL*88.25*41.92 
Dubois,PA*78.90*41.18 
Dubuque,IA*90.70*42.40 
Duffys Tavern,AK*143.92*62.73 
Dugway Prvgr,UT*112.93*40.20 
Duke Fld,FL*86.52*30.65 
Duluth,MN*92.18*46.83 
Durango,CO*107.75*37.15 
Dutch Harbor,AK*166.53*53.88 
Dyersburg,TN*89.40*36.02 
Dyess AFB,TX*99.85*32.43 
Eagle,CO*106.92*39.65 
Eagle Arpt,AK*141.15*64.77 
Eagle Range,UT*113.07*41.05 
Eau Claire,WI*91.48*44.87 
Edwards AFB,CA*117.88*34.90 
Eglin AFB,FL*86.53*30.48 
Egmont Key,FL*82.77*27.60 
El Centro,CA*115.68*32.82 
El Dorado,AR*92.80*33.22 
El Monte,CA*118.03*34.08 
El Paso,TX*106.40*31.80 
El Toro,CA*117.73*33.67 
Eldred Rock,AK*135.37*59.62 
Elfin Cove,AK*136.35*58.20 
Elizabeth,NC*76.18*36.27 
Elk City,ID*115.43*45.82 
Elkhart,IN*86.00*41.72 
Elkhart,KS*101.88*37.00 
Elkins,WV*79.85*38.88 
Elko,NV*115.78*40.83 
Ellington Af,TX*95.17*29.62 
Ellsworth Af,SD*103.10*44.15 
Elmira,NY*76.90*42.17 
Ely,MN*91.82*47.90 
Ely/Yelland,NV*114.85*39.28 
Emporia,KS*96.20*38.33 
England AFB,LA*92.55*31.33 
Englewood,CO*104.83*39.57 
Enid,OK*97.80*36.38 
Ephrata,WA*119.52*47.32 
Erie,PA*80.18*42.08 
Escanaba,MI*87.08*45.73 
Estherville,IA*94.75*43.40 
Eugene,OR*123.22*44.12 
Eugene Is.,LA*91.78*28.47 
Eureka,CA*124.28*41.33 
Eureka,NV*115.97*39.50 
Evanston,WY*111.00*41.33 
Evansville,IN*87.53*38.05 
Everet/Paine,WA*122.28*47.92 
Fairbanks,AK*147.87*64.82 
Fairchild,WA*117.65*47.62 
Fairfield,NJ*74.28*40.87 
Fairmont,MN*94.42*43.65 
Falcon Fld,AZ*111.73*33.47 
Fallon NAS,NV*118.70*39.42 
Falls City,NE*95.58*40.07 
Farewell,AK*154.47*62.85 
Fargo,ND*96.80*46.90 
Farmingdale,NY*73.43*40.73 
Farmington,NM*108.23*36.75 
Fayetteville,AR*94.17*36.00 
Fayetteville,NC*78.88*35.00 
Fergus Falls,MN*96.07*46.30 
Findlay,OH*83.67*41.02 
Five Finger,AK*134.03*57.45 
Five Mile,AK*149.83*65.93 
Flagstaff,AZ*111.67*35.13 
Flint/Bishop,MI*83.75*42.97 
Florence,SC*79.72*34.18 
Fort Belvoir,VA*77.18*38.72 
Fort Benning,GA*85.00*32.33 
Fort Bragg,NC*78.93*35.13 
Fort Carson,CO*104.77*38.68 
Fort Devens,MA*71.60*42.57 
Fort Dodge,IA*94.18*42.55 
Fort Drum,NY*75.73*44.05 
Fort Eustis,VA*76.62*37.13 
Fort Huachuc,AZ*110.35*31.60 
Fort Hunter,CA*121.32*36.00 
Fort Lauderd,FL*80.13*26.13 
Fort Lewis,WA*122.58*47.08 
Fort Meade,MD*76.77*39.08 
Fort Myers,FL*81.87*26.58 
Fort Ord,CA*121.77*36.68 
Fort Polk,LA*93.20*31.05 
Fort Rucker,AL*85.72*31.28 
Fort Sill,OK*98.40*34.65 
Fort Wayne,IN*85.20*41.00 
Fort Worth,TX*97.35*32.82 
Fort Yukon,AK*145.27*66.57 
Fr Frigate,HI*166.47*24.45 
Franklin,PA*79.87*41.38 
Fraser,CO*105.50*39.57 
Fresno,CA*119.72*36.77 
Ft Campbell,KY*87.50*36.67 
Ft Col/Lovel,CO*105.02*40.45 
Ft Collins,CO*105.08*40.58 
Ft Hood Aaf,TX*97.72*31.15 
Ft Knox,KY*85.97*37.90 
Ft Lauderdale,FL*80.15*26.07 
Ft Leavnwrth,KS*94.92*39.37 
Ft Leonard,MO*92.13*37.75 
Ft Myers,FL*81.87*26.65 
Ft Riley,KS*96.77*39.05 
Ft Smith,AR*94.37*35.33 
Ft Stewart,GA*81.57*31.88 
Fullerton,CA*117.97*33.87 
Funter Bay,AK*134.90*58.25 
Gadsden,AL*86.09*33.97 
Gage,OK*99.77*36.30 
Gainesville,FL*82.27*29.68 
Galbraith Lk,AK*149.48*68.48 
Galesburg,IL*90.43*40.93 
Gallup/Clark,NM*108.78*35.52 
Galveston,TX*94.87*29.27 
Gambell,AK*171.73*63.77 
Garden City,KS*100.72*37.93 
Gary,IN*87.42*41.62 
George AFB,CA*117.38*34.58 
Gila Bend,AZ*113.17*33.55 
Gillette,WY*105.53*44.35 
Glasgow,MT*106.62*48.22 
Glendive,MT*104.80*47.13 
Glens Falls,NY*73.62*43.35 
Glenview NAS,IL*87.82*42.08 
Golden Trian,MS*88.58*33.45 
Gooding,ID*115.17*43.00 
Goodland,KS*101.70*39.37 
Goodyear,AZ*112.38*33.42 
Grand Canyon,AZ*112.15*35.95 
Grand Forks,ND*97.18*47.95 
Grand Island,NE*98.32*40.97 
Grand Isle,LA*90.07*29.18 
Grand Jct,CO*108.53*39.12 
Grand Rapids,MI*85.52*42.88 
Grand Rapids,MN*93.52*47.22 
Grangeville,ID*116.13*45.92 
Grants,NM*107.90*35.17 
Gray AFB,TX*97.83*31.07 
Great Falls,MT*111.37*47.48 
Greeley-Wld,CO*104.63*40.43 
Green Bay,WI*88.13*44.48 
Green River,UT*110.15*39.00 
Greensboro,NC*79.95*36.08 
Greenville,ME*69.63*45.78 
Greenville,MS*90.98*33.48 
Greenville,SC*82.35*34.85 
Greenville,TX*96.07*33.07 
Greenwood,MS*90.08*33.50 
Griffiss AFB,NY*75.40*43.23 
Grissom AFB,IN*86.15*40.65 
Groton,CT*72.05*41.33 
Guadalupe Ps,TX*104.80*31.83 
Gulfport,MS*89.07*30.40 
Gulkana Arpt,AK*145.45*62.15 
Gunnison,CO*106.93*38.55 
Gustavus,AK*135.73*58.42 
Hagerstown,MD*77.72*39.70 
Haines Hrbor,AK*135.43*59.23 
Hancock,MI*88.50*47.17 
Hanford,WA*119.60*46.57 
Hanksville,UT*110.72*38.37 
Harbor Beach,MI*82.53*43.83 
Harlingen,TX*97.67*26.23 
Harlowton,MT*109.83*46.43 
Harrisburg,PA*77.42*40.37 
Harrison,AR*93.15*36.27 
Hartford,CT*72.65*41.73 
Hastings,NE*98.43*40.60 
Hattiesburg,MS*89.33*31.47 
Havre,MT*109.77*48.55 
Hawthorne,CA*118.33*33.92 
Hawthorne,NV*118.63*38.55 
Hayes River,AK*152.08*61.98 
Hays,KS*99.27*38.85 
Hayward,CA*122.12*37.65 
Healy River,AK*149.00*63.83 
Helena,MT*112.00*46.60 
Hibbing,MN*92.85*47.38 
Hickory,NC*81.38*35.75 
High Is,LA*93.75*28.22 
High Island,LA*94.40*28.13 
Hill AFB,UT*111.97*41.12 
Hill City,KS*99.83*39.38 
Hillsboro,OR*122.95*45.53 
Hilo,HI*155.07*19.72 
Hobart,OK*99.05*35.00 
Hobbs,NM*103.20*32.68 
Holloman AFB,NM*106.10*32.85 
Homer,AK*151.50*59.63 
Homestead,FL*80.38*25.48 
Hondo,TX*99.17*29.35 
Honolulu Int,HI*157.93*21.35 
Hoonah Seapl,AK*135.45*58.10 
Hoquiam,WA*123.97*46.97 
Hot Springs,AR*93.10*34.48 
Hot Springs,NC*82.82*35.90 
Hot Springs,VA*79.82*37.95 
Houghton Lake,MI*84.68*44.37 
Houlton,ME*67.78*46.13 
Houma,LA*90.65*29.57 
Houston,TX*95.35*29.97 
Houston/Hobby,TX*95.28*29.65 
Hunter Aaf,GA*81.15*32.02 
Huntington,WV*82.55*38.37 
Huntsville,AL*86.77*34.65 
Hurlburt Fld,FL*86.68*30.43 
Huron,SD*98.22*44.38 
Hutchinson,KS*97.87*38.07 
Hyannis,MA*70.28*41.67 
Idaho Falls,ID*112.07*43.52 
Iliamna Arpt,AK*154.92*59.75 
Imperial,CA*115.57*32.83 
Imperial,NE*101.39*40.33 
Imperial Bch,CA*117.12*32.57 
Ind Sprng Rn,NV*115.57*36.53 
Indianapolis,IN*86.27*39.73 
Intercoastal,LA*92.12*29.73 
Intl Falls,MN*93.38*48.57 
Iron Mtn,MI*88.12*45.82 
Ironwood,MI*90.13*46.53 
Islip,NY*73.10*40.78 
Ithaca,NY*76.47*42.48 
Jackson,KY*83.32*37.60 
Jackson,MI*84.47*42.27 
Jackson,MS*90.08*32.32 
Jackson,TN*88.92*35.60 
Jackson,WY*110.73*43.60 
Jacksonville,FL*81.68*30.23 
Jacksonville,NC*77.62*34.82 
Jaffrey,NH*72.00*42.80 
Jamestown,ND*98.68*46.92 
Jamestown,NY*79.25*42.15 
Janesville,WI*89.03*42.62 
Jefferson City,MO*92.17*38.60 
Johnson Cnty,KS*94.88*38.82 
Johnstown,PA*78.83*40.32 
Jonesboro,AR*90.65*35.83 
Joplin,MO*94.50*37.17 
Jordan,MT*106.93*47.33 
Junction,TX*99.77*30.50 
Juneau,AK*134.58*58.37 
Kahului Maui,HI*156.43*20.90 
Kake Seaplan,AK*133.95*56.97 
Kalamazoo,MI*85.55*42.23 
Kalispell,MT*114.27*48.30 
Kaneohe Mca,HI*158.28*21.75 
Kankakee,IL*87.85*41.07 
Kansas City,MO*94.72*39.32 
Ke-Ahole/Kon,HI*156.05*19.75 
Kearney,NE*99.00*40.73 
Keene,NH*72.27*42.90 
Keesler AFB,MS*88.92*30.42 
Kelly AFB,TX*98.58*29.38 
Kenai,AK*151.25*60.57 
Kerrville,TX*99.08*29.98 
Ketchikan,AK*131.70*55.35 
Key West,FL*81.75*24.55 
Key West NAS,FL*81.68*24.57 
Kilauea Pt,HI*159.67*22.38 
Killeen,TX*97.68*31.08 
King Salmon,AK*156.65*58.68 
Kingman,AZ*113.95*35.27 
Kingsville,TX*97.82*27.50 
Kinston,NC*77.63*35.32 
Kirksville,MO*92.55*40.10 
Klamath Fall,OR*121.73*42.15 
Knoxville,TN*83.98*35.82 
Kodiak,AK*152.50*57.75 
Kotzebue,AK*162.63*66.87 
La Crosse,WI*91.25*43.87 
La Grande,OR*118.00*45.28 
La Grange,GA*85.07*33.01 
La Junta,CO*103.52*38.05 
La Verne,CA*117.78*34.10 
Laconia,NH*71.43*43.57 
Lafayette,LA*92.00*30.20 
Lake Charles,LA*93.22*30.12 
Lake Tahoe,CA*120.00*38.90 
Lake View,OR*120.35*42.18 
Lakehurst,NJ*74.35*40.03 
Lakeland,FL*81.95*28.03 
Lamar,CO*102.60*38.12 
Lamoni,IA*93.93*40.62 
Lanai-Lanai,HI*156.95*20.80 
Lancaster,CA*118.22*34.73 
Lancaster,PA*76.30*40.13 
Lander,WY*108.73*42.82 
Langley AFB,VA*76.37*37.08 
Lansing,MI*84.60*42.77 
Laramie,WY*105.68*41.32 
Laredo Intl,TX*99.47*27.53 
Las Cruces,NM*106.77*32.30 
Las Vegas,NM*105.15*35.65 
Las Vegas,NV*115.17*36.08 
Latrobe,PA*79.40*40.28 
Laughlin AFB,TX*100.78*29.37 
Laurel,MS*89.17*31.67 
Lawrence,MA*71.12*42.72 
Lawton,OK*98.42*34.57 
Lazy Mtn,AK*149.03*61.63 
Leadville,CO*106.30*39.25 
Lebanon,NH*72.30*43.63 
Lemmon,SD*102.17*45.93 
Lemoore NAS,CA*119.95*36.33 
Lewisburg,WV*80.40*37.87 
Lewiston,ID*117.02*46.38 
Lewiston,MT*109.45*47.05 
Lexington,KY*85.00*38.05 
Liberal,KS*100.97*37.05 
Lidgerwood,ND*97.15*46.10 
Lihue-Kauai,HI*159.35*21.98 
Limon,CO*103.70*39.18 
Lincoln Muni,NE*96.75*40.85 
Litchfield,MN*94.52*45.13 
Little Rock,AR*92.38*35.22 
Livermore,CA*121.82*37.70 
Livingston,MT*110.43*45.70 
Lk Palourde,LA*91.10*29.70 
Logan,UT*111.85*41.78 
London,KY*84.07*37.08 
Lone Rock,WI*90.18*43.20 
Lonely (dew),AK*153.23*70.92 
Long Beach,CA*118.15*33.82 
Longview,TX*94.72*32.38 
Loring AFB,ME*67.88*46.95 
Los Alamitos,CA*118.05*33.78 
Los Alamos,NM*106.28*35.88 
Los Angeles,CA*118.40*33.93 
Louisville,KY*85.67*38.23 
Lovelock,NV*118.92*40.10 
Lubbock,TX*101.82*33.65 
Lufkin,TX*94.75*31.23 
Luke,AZ*112.38*33.53 
Lynchburg,VA*79.20*37.33 
Macdill AFB,FL*82.52*27.85 
Mackall Aaf,NC*79.50*35.03 
Macomb,IL*90.66*40.52 
Macon/Lewis,GA*83.65*32.70 
Madison,WI*89.33*43.13 
Malad City,ID*112.32*42.17 
Malmstrom,MT*111.18*47.50 
Malta,ID*113.37*42.30 
Mammoth Lks,CA*118.92*37.63 
Manchester,NH*71.43*42.93 
Manhatten,KS*96.67*39.15 
Manistee,MI*86.25*44.27 
Manitowac,WI*87.67*44.13 
Mankato,MN*93.92*44.22 
Manley Ht Sp,AK*150.65*65.00 
Mansfield,OH*82.52*40.82 
Manteo Arpt,NC*75.68*35.92 
March AFB,CA*117.27*33.88 
Marfa,TX*104.02*30.37 
Marianna,FL*85.18*30.84 
Marion,IL*89.00*37.75 
Marquette,MI*87.95*46.88 
Marseilles,IL*88.68*41.37 
Marshall Arpt,MN*95.82*44.45 
Marthas Vine,MA*70.62*41.40 
Martinsburg,WV*77.98*39.40 
Marysville,CA*121.57*39.10 
Mason City,IA*93.33*43.15 
Massena,NY*74.85*44.93 
Mather AFB,CA*121.30*38.57 
Mattoon,IL*88.28*39.48 
Maui,HI*156.83*20.97 
Maxwell AFB,AL*86.37*32.38 
Mayport NAS,FL*81.42*30.40 
Mcalester,OK*95.78*34.88 
Mcallen,TX*98.23*26.18 
Mccall,ID*116.10*44.88 
Mccarthy,AK*142.92*61.43 
Mcchord AFB,WA*122.48*47.15 
Mcclellan,CA*121.40*38.67 
Mccomb,MS*90.47*31.18 
Mcconnell Af,KS*97.27*37.62 
Mccook,NE*100.58*40.22 
Mcentire,SC*80.80*33.92 
Mcgrath,AK*155.62*62.97 
Mcguire AFB,NJ*74.60*40.02 
Meacham,OR*118.40*45.50 
Medford,OR*122.87*42.37 
Medicine Ldg,KS*98.58*37.30 
Mekoryuk,AK*166.27*60.37 
Melbourne,FL*80.63*28.10 
Memphis Intl,TN*90.00*35.05 
Memphis NAS,TN*89.87*35.35 
Menominee,MI*87.63*45.12 
Merced,CA*120.52*37.28 
Mercury,NV*116.02*36.62 
Meridian/Key,MS*88.75*32.33 
Meridian NAS,MS*88.57*32.55 
Miami/Opa,FL*80.28*25.92 
Miami/Tamiami,FL*80.43*25.65 
Miami Intl,FL*80.28*25.82 
Middleton Is,AK*146.33*59.43 
Middletown,PA*76.77*40.20 
Midland,TX*102.18*31.95 
Miles City,MT*105.87*46.43 
Milford,UT*113.03*38.72 
Millville,NJ*75.07*39.37 
Milwaukee,WI*87.90*42.95 
Minchumina,AK*152.27*63.90 
Mineral Wlls,TX*98.07*32.78 
Minneapolis,MN*93.22*44.88 
Minot AFB,ND*101.35*48.42 
Minot Intl,ND*101.28*48.27 
Miramar NAS,CA*117.15*32.87 
Missippi Can,LA*89.05*28.78 
Missoula,MT*114.08*46.92 
Mitchell,SD*98.03*43.77 
Moab,UT*109.75*38.77 
Mobile,AL*88.25*30.68 
Mobile Aeros,AL*88.07*30.63 
Mobridge,SD*100.43*45.53 
Modesto,CA*120.95*37.63 
Moffet NAS,CA*122.05*37.42 
Mojave,CA*118.15*35.05 
Moline/Quad,IL*90.52*41.45 
Molokai,HI*157.10*21.15 
Monett,MO*94.35*37.33 
Monida,MT*112.32*44.57 
Monroe,LA*92.05*32.52 
Montague,CA*122.53*41.73 
Monteagle,TN*85.51*35.15 
Monterey,CA*121.85*36.58 
Montgomery,AL*86.40*32.30 
Monticello,NY*74.80*41.70 
Montpelier,VT*72.57*44.20 
Montrose,CO*107.88*38.50 
Moody AFB,GA*83.20*30.97 
Moorcroft,WY*104.81*44.35 
Morgan City,LA*91.20*29.70 
Morgantown,WV*79.92*39.65 
Moriarity,NM*106.05*34.98 
Morristown,NJ*74.42*40.80 
Moses Lake,WA*119.32*47.20 
Mosinee,WI*89.67*44.78 
Mount Shasta,CA*122.32*41.32 
Mount Vernon,IL*88.86*38.32 
Mount Wilson,CA*118.07*34.23 
Mountn Home,ID*115.87*43.05 
Mt Washingtn,NH*71.30*44.27 
Muir,PA*76.57*40.43 
Mullan,ID*115.80*47.47 
Mullen,NE*101.05*42.05 
Muncie,IN*85.38*40.23 
Muscle Shoal,AL*87.62*34.75 
Muskegon,MI*86.25*43.17 
Muskogee,MO*95.36*35.66 
Myrtle Beach,SC*78.93*33.68 
Nantucket,MA*70.07*41.25 
Napa,CA*122.28*38.22 
Naples,FL*81.80*26.13 
Nasa Shuttle,FL*80.68*28.62 
Nashua,NH*71.52*42.78 
Nashville,TN*86.68*36.12 
Natchez,MS*91.25*31.62 
Needles,CA*114.62*34.77 
Neenah,WI*88.53*44.22 
Nellis AFB,NV*115.03*36.23 
Nenana,AK*149.08*64.55 
New Andreafs,AK*163.30*62.07 
New Bedford,MA*70.97*41.68 
New Bern,NC*77.05*35.08 
New Haven,CT*72.67*41.22 
New Iberia,LA*91.88*30.03 
New London,CT*72.08*41.30 
New Orleans,LA*90.25*29.98 
New River,NC*77.43*34.70 
New York,NY*73.98*40.77 
New York/JFK,NY*73.78*40.65 
New York/LGA,NY*73.90*40.77 
Newark Intl,NJ*74.17*40.70 
Newburgh,NY*74.10*41.50 
Newport,OR*124.05*44.63 
Newport,VT*72.33*45.55 
Newport News,VA*76.50*37.13 
Niagara Fall,NY*78.95*43.10 
